,name,price,commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key
225,Oakland Athletics,-105,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,draftkings,h2h
226,Kansas City Royals,-115,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,betmgm,h2h
227,Oakland Athletics,-105,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,betmgm,h2h
228,Kansas City Royals,-110,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,lowvig,h2h
229,Oakland Athletics,100,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,lowvig,h2h
230,Kansas City Royals,-110,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,betonlineag,h2h
231,Oakland Athletics,100,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,betonlineag,h2h
232,Kansas City Royals,-112,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,betus,h2h
233,Oakland Athletics,102,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,betus,h2h
234,Colorado Rockies,198,2025-09-27T02:16:00Z,San Francisco Giants,Colorado Rockies,fanduel,h2h
235,San Francisco Giants,-240,2025-09-27T02:16:00Z,San Francisco Giants,Colorado Rockies,fanduel,h2h
236,Colorado Rockies,210,2025-09-27T02:16:00Z,San Francisco Giants,Colorado Rockies,betrivers,h2h
237,San Francisco Giants,-265,2025-09-27T02:16:00Z,San Francisco Giants,Colorado Rockies,betrivers,h2h
238,Colorado Rockies,202,2025-09-27T02:16:00Z,San Francisco Giants,Colorado Rockies,mybookieag,h2h
239,San Francisco Giants,-244,2025-09-27T02:16:00Z,San Francisco Giants,Colorado Rockies,mybookieag,h2h
240,Colorado Rockies,210,2025-09-27T02:16:00Z,San Francisco Giants,Colorado Rockies,lowvig,h2h
241,San Francisco Giants,-235,2025-09-27T02:16:00Z,San Francisco Giants,Colorado Rockies,lowvig,h2h
242,Colorado Rockies,210,2025-09-27T02:16:00Z,San Francisco Giants,Colorado Rockies,betonlineag,h2h
